Week,In/wk,Population,Rate
1,0,109432,0
2,19,109432,0.000173624
3,116,109432,0.001060019
4,22,109432,0.000201038
5,13,109432,0.000118795
6,0,109432,0
7,0,109432,0
8,20,109432,0.000182762
9,5,109432,4.56905E-05
10,0,109432,0
11,0,109432,0
12,0,109432,0
13,0,109432,0
14,0,109432,0
15,0,109432,0
16,0,109432,0
17,0,109432,0
18,0,109432,0
19,0,109432,0
20,0,109432,0
21,0,110172,0
22,0,110172,0
23,0,110172,0
24,0,110172,0
25,0,110172,0
26,0,110172,0
27,0,110172,0
28,0,110172,0
29,0,110172,0
30,0,110172,0
31,0,110172,0
32,1,110172,9.07672E-06
33,0,110172,0
34,0,110172,0
35,0,110172,0
36,0,110172,0
37,0,110172,0
38,0,110172,0
39,0,110172,0
40,0,110172,0
41,0,111016,0
42,0,111016,0
43,0,111016,0
44,0,111016,0
45,0,111016,0
46,0,111016,0
47,0,111016,0
48,1,111016,9.00771E-06
49,0,111016,0
50,1,111016,9.00771E-06
51,1,111016,9.00771E-06
52,1,111016,9.00771E-06
53,3,111016,2.70231E-05
54,1,111016,9.00771E-06
55,3,111016,2.70231E-05
56,2,111016,1.80154E-05
57,2,111016,1.80154E-05
58,2,111016,1.80154E-05
59,0,111016,0
60,2,111016,1.80154E-05
61,3,111575,2.68877E-05
62,0,111575,0
63,4,111575,3.58503E-05
64,0,111575,0
65,0,111575,0
66,0,111575,0
67,0,111575,0
68,0,111575,0
69,0,111575,0
70,0,111575,0
71,0,111575,0
72,0,111575,0
73,0,111575,0
74,0,111575,0
75,0,111575,0
76,0,111575,0
77,0,111575,0
78,0,111575,0
79,0,111575,0
80,0,111575,0
81,0,112462,0
82,0,112462,0
83,0,112462,0
84,0,112462,0
85,0,112462,0
86,0,112462,0
87,0,112462,0
88,0,112462,0
89,0,112462,0
90,0,112462,0
91,0,112462,0
92,1,112462,8.89189E-06
93,0,112462,0
94,0,112462,0
95,2,112462,1.77838E-05
96,0,112462,0
97,0,112462,0
98,17,112462,0.000151162
99,26,112462,0.000231189
100,24,112462,0.000213405
101,0,113780,0
102,0,113780,0
103,0,113780,0
104,0,113780,0
105,0,113780,0
106,0,113780,0
107,0,113780,0
108,0,113780,0
109,0,113780,0
110,0,113780,0
111,0,113780,0
112,0,113780,0
113,0,113780,0
114,2,113780,1.75778E-05
115,0,113780,0
116,1,113780,8.78889E-06
117,0,113780,0
118,1,113780,8.78889E-06
119,1,113780,8.78889E-06
120,2,113780,1.75778E-05
121,3,115896,2.58853E-05
122,18,115896,0.000155312
123,28,115896,0.000241596
124,52,115896,0.000448678
125,58,115896,0.000500449
126,50,115896,0.000431421
127,48,115896,0.000414164
128,54,115896,0.000465935
129,62,115896,0.000534962
130,27,115896,0.000232967
131,22,115896,0.000189825
132,17,115896,0.000146683
133,24,115896,0.000207082
134,14,115896,0.000120798
135,14,115896,0.000120798
136,12,115896,0.000103541
137,4,115896,3.45137E-05
138,2,115896,1.72569E-05
139,0,115896,0
140,0,115896,0
141,0,117441,0
142,0,117441,0
143,0,117441,0
144,0,117441,0
145,0,117441,0
146,0,117441,0
147,0,117441,0
148,0,117441,0
149,0,117441,0
150,1,117441,8.51491E-06
151,0,117441,0
152,0,117441,0
153,0,117441,0
154,1,117441,8.51491E-06
155,1,117441,8.51491E-06
156,18,117441,0.000153268
157,11,117441,9.36641E-05
158,55,117441,0.00046832
159,56,117441,0.000476835
160,33,117441,0.000280992
161,26,119006.5963,0.000218475
162,15,119006.5963,0.000126043
163,12,119006.5963,0.000100835
164,8,119006.5963,6.72232E-05
165,5,119006.5963,4.20145E-05
166,2,119006.5963,1.68058E-05
167,0,119006.5963,0
168,0,119006.5963,0
169,0,119006.5963,0
170,0,119006.5963,0
171,1,119006.5963,8.4029E-06
172,0,119006.5963,0
173,0,119006.5963,0
174,0,119006.5963,0
175,0,119006.5963,0
176,0,119006.5963,0
177,0,119006.5963,0
178,2,119006.5963,1.68058E-05
179,15,119006.5963,0.000126043
180,0,119006.5963,0
